movieID,movieImg,movieMoreUrl,movieTitle,movieYear,movieTime,movieAvgRating,movieRatingCount
UGVyZmVjdCBEYXlz,"https://m.media-amazon.com/images/M/MV5BYjI2Njc4MGQtYzYwNC00MDQ1LTkyMzQtODY0NDk4NzZjNGMyXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_QL75_UX140_CR0,3,140,207_.jpg",/title/tt27503384/?ref_=chtmvm_t_70,Perfect Days,2023,2h 4m,7.9,37K
S2lsbGVycyBvZiB0aGUgRmxvd2VyIE1vb24=,"https://m.media-amazon.com/images/M/MV5BMjE4ZTZlNDAtM2Q3YS00YjFhLThjN2UtODg2ZGNlN2E2MWU2XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX140_CR0,1,140,207_.jpg",/title/tt5537002/?ref_=chtmvm_t_71,Killers of the Flower Moon,2023,3h 26m,7.6,239K
Qm9iIE1hcmxleTogT25lIExvdmU=,"https://m.media-amazon.com/images/M/MV5BY2U4M2NmY2ItMjAyNC00NzM1LTg3ZTEtNzVlYjEzNTE5NDI5XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt8521778/?ref_=chtmvm_t_72,Bob Marley: One Love,2024,1h 47m,6.3,22K
VGhlIElyb24gQ2xhdw==,"https://m.media-amazon.com/images/M/MV5BOGE5NjllZTEtMGJjNy00ZTFmLThlNDItNmNiZTgyOTQ4OTA2XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt21064584/?ref_=chtmvm_t_73,The Iron Claw,2023,2h 12m,7.7,56K
QXBvY2FseXBzZSBOb3c=,"https://m.media-amazon.com/images/M/MV5BYmQyNTA1ZGItNjZjMi00NzFlLWEzMWEtNWMwN2Q2MjJhYzEyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,4,140,207_.jpg",/title/tt0078788/?ref_=chtmvm_t_74,Apocalypse Now,1979,2h 27m,8.4,710K
UHVscCBGaWN0aW9u,"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY207_CR1,0,140,207_.jpg",/title/tt0110912/?ref_=chtmvm_t_75,Pulp Fiction,1994,2h 34m,8.9,2.2M
VGhlIElkZWEgb2YgWW91,"https://m.media-amazon.com/images/M/MV5BYWRkZjJiODEtM2IwZi00ZjM1LWEyOTUtOThjMDk3YThjZDUzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt9466114/?ref_=chtmvm_t_76,The Idea of You,2024,1h 55m,6.1,401
U3BsaXQ=,"https://m.media-amazon.com/images/M/MV5BZTJiNGM2NjItNDRiYy00ZjY0LTgwNTItZDBmZGRlODQ4YThkL2ltYWdlXkEyXkFqcGdeQXVyMjY5ODI4NDk@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt4972582/?ref_=chtmvm_t_77,Split,2016,1h 57m,7.3,554K
TG92ZQ==,"https://m.media-amazon.com/images/M/MV5BZGQxZTFlZDctZjcyMy00NzA1LWFkMDYtNzRmZTkwYTFhYTc3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt3774694/?ref_=chtmvm_t_78,Love,2015,2h 15m,6.1,67K
V2lja2VkIExpdHRsZSBMZXR0ZXJz,"https://m.media-amazon.com/images/M/MV5BN2NmNWYzNTktNThmNS00MjZkLTk5NjItZTEwNTczMzAwMWI2XkEyXkFqcGdeQXVyMTQyODg5MjQw._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt20234774/?ref_=chtmvm_t_79,Wicked Little Letters,2023,1h 40m,7.0,11K
TWVu,"https://m.media-amazon.com/images/M/MV5BZGQ2ZDNiMjgtMTNhNS00MjUxLWFkYTMtYTI1OTE0MmQ2MmJkXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt13841850/?ref_=chtmvm_t_80,Men,2022,1h 40m,6.1,63K
SnVzdGljZSBMZWFndWU6IENyaXNpcyBvbiBJbmZpbml0ZSBFYXJ0aHMgLSBQYXJ0IFR3bw==,"https://m.media-amazon.com/images/M/MV5BNDY3YzkyMjMtODc2Ny00ZmQwLTg1NmEtOTlmNjZjMjZhMjNiXkEyXkFqcGdeQXVyMTE5NTM5NTU5._V1_QL75_UX140_CR0,1,140,207_.jpg",/title/tt30150907/?ref_=chtmvm_t_81,Justice League: Crisis on Infinite Earths - Part Two,2024,1h 34m,5.6,847
VGhlIEhvbGRvdmVycw==,"https://m.media-amazon.com/images/M/MV5BNDc2MzNkMjMtZDY5NC00NmQ0LWI1NjctZjRhNWIzZjc4MGRiXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt14849194/?ref_=chtmvm_t_82,The Holdovers,2023,2h 13m,7.9,138K
U2FzcXVhdGNoIFN1bnNldA==,"https://m.media-amazon.com/images/M/MV5BYjdjMWJiOGYtYjBmYy00NTQ5LWE3ZGMtNjc1NjAzZmUzNTZhXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UY207_CR0,0,140,207_.jpg",/title/tt30180830/?ref_=chtmvm_t_83,Sasquatch Sunset,2024,1h 28m,6.0,1K
TWFkIE1heDogRnVyeSBSb2Fk,"https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt1392190/?ref_=chtmvm_t_84,Mad Max: Fury Road,2015,2h,8.1,1.1M
RmFiYnJpY2FudGUgZGkgbGFjcmltZQ==,"https://m.media-amazon.com/images/M/MV5BYmI0ZjAwNzktYjQzYi00YTIzLWIzYjctZDVkNGQ2YTRlNTI0XkEyXkFqcGdeQXVyMTc1NTIyMjQw._V1_QL75_UX140_CR0,1,140,207_.jpg",/title/tt29114029/?ref_=chtmvm_t_85,Fabbricante di lacrime,2024,1h 43m,5.2,5.7K
RGVhZHBvb2w=,"https://m.media-amazon.com/images/M/MV5BYzE5MjY1ZDgtMTkyNC00MTMyLThhMjAtZGI5OTE1NzFlZGJjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX140_CR0,1,140,207_.jpg",/title/tt1431045/?ref_=chtmvm_t_86,Deadpool,2016,1h 48m,8.0,1.1M
VGhlIEJyaWNrbGF5ZXI=,"https://m.media-amazon.com/images/M/MV5BYjQyZTYwZTgtNGYzZC00YWQzLThiYWQtYTcwYjM0N2Q3YjE1XkEyXkFqcGdeQXVyMTAxNzQ1NzI@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt2016303/?ref_=chtmvm_t_87,The Bricklayer,2023,1h 50m,5.1,6.9K
RXhwZW5kNGJsZXM=,"https://m.media-amazon.com/images/M/MV5BMDFhYjc2NmUtNDBlOC00NDE5LTk5YWYtYmM4ZmMxNTUxMGNjXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_QL75_UX140_CR0,4,140,207_.jpg",/title/tt3291150/?ref_=chtmvm_t_88,Expend4bles,2023,1h 43m,4.8,39K
Umlja3kgU3Rhbmlja3k=,"https://m.media-amazon.com/images/M/MV5BOTMyYjg2NzMtNmQzZS00YzMxLTkzNDItMTIwODJhZDI1MmY5XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt1660648/?ref_=chtmvm_t_89,Ricky Stanicky,2024,1h 53m,6.2,39K
VG9wIEd1bjogTWF2ZXJpY2s=,"https://m.media-amazon.com/images/M/MV5BZWYzOGEwNTgtNWU3NS00ZTQ0LWJkODUtMmVhMjIwMjA1ZmQwXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt1745960/?ref_=chtmvm_t_90,Top Gun: Maverick,2022,2h 10m,8.2,697K
VGl0YW5pYw==,"https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt0120338/?ref_=chtmvm_t_91,Titanic,1997,3h 14m,7.9,1.3M
Qmxvb2QgZm9yIER1c3Q=,"https://m.media-amazon.com/images/M/MV5BYmJiN2RjZDEtOWU2Yi00MDNiLTljMTktODZkMjU1YjExNGMwXkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt10669888/?ref_=chtmvm_t_92,Blood for Dust,2023,1h 38m,5.4,686
VGhlIEh1bmdlciBHYW1lczogVGhlIEJhbGxhZCBvZiBTb25nYmlyZHMgJiBTbmFrZXM=,"https://m.media-amazon.com/images/M/MV5BOTZmMmY2MzctMjU2Yy00YjJlLTk1NjAtY2U4MmMxOWZkZWY4XkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_QL75_UX140_CR0,4,140,207_.jpg",/title/tt10545296/?ref_=chtmvm_t_93,The Hunger Games: The Ballad of Songbirds & Snakes,2023,2h 37m,6.8,117K
RGVhZCBQb2V0cyBTb2NpZXR5,"https://m.media-amazon.com/images/M/MV5BOGYwYWNjMzgtNGU4ZC00NWQ2LWEwZjUtMzE1Zjc3NjY3YTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY207_CR0,0,140,207_.jpg",/title/tt0097165/?ref_=chtmvm_t_94,Dead Poets Society,1989,2h 8m,8.1,546K
Qm9yZGVybGFuZHM=,"https://m.media-amazon.com/images/M/MV5BOWZmOTM5YmMtNjliMi00OGRkLWIwNGUtNDI2NTE3NzZmMDdmXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX140_CR0,4,140,207_.jpg",/title/tt4978420/?ref_=chtmvm_t_95,Borderlands,2024,1h 42m,,
V2FyIGZvciB0aGUgUGxhbmV0IG9mIHRoZSBBcGVz,"https://m.media-amazon.com/images/M/MV5BNDNmYTQzMDEtMmY0MS00OTNjLTk4MjItMDZhMzkzOGI3MzA0XkEyXkFqcGdeQXVyNjk5NDA3OTk@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt3450958/?ref_=chtmvm_t_96,War for the Planet of the Apes,2017,2h 20m,7.4,283K
TWlsbGVyJ3MgR2lybA==,"https://m.media-amazon.com/images/M/MV5BM2JiYTQzM2MtOWU4NS00MGMwLTg2NTYtMTNhMzk5Y2JlY2Q4XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX140_CR0,1,140,207_.jpg",/title/tt8310486/?ref_=chtmvm_t_97,Miller's Girl,2024,1h 33m,5.2,9K
S2luZ2RvbSBvZiBIZWF2ZW4=,"https://m.media-amazon.com/images/M/MV5BMTI2ODhkMjMtYWU2Yy00MjI1LThlNDctZTJmNDE2MDE4ZDYzXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt0320661/?ref_=chtmvm_t_98,Kingdom of Heaven,2005,2h 24m,7.3,315K
QnVsbGV0IFRyYWlu,"https://m.media-amazon.com/images/M/MV5BMDU2ZmM2OTYtNzIxYy00NjM5LTliNGQtN2JmOWQzYTBmZWUzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt12593682/?ref_=chtmvm_t_99,Bullet Train,2022,2h 7m,7.3,428K
QWxpZW4=,"https://m.media-amazon.com/images/M/MV5BOGQzZTBjMjQtOTVmMS00NGE5LWEyYmMtOGQ1ZGZjNmRkYjFhXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,2,140,207_.jpg",/title/tt0078748/?ref_=chtmvm_t_100,Alien,1979,1h 57m,8.5,951K
