movieID,movieImg,movieMoreUrl,movieTitle,movieYear,movieTime,movieAvgRating,movieRatingCount
SW1tYWN1bGF0ZQ==,"https://m.media-amazon.com/images/M/MV5BNmYyZGQzM2YtYTY3My00NGE5LWIzMmQtMDIxMTFhMGIxZDhhXkEyXkFqcGdeQXVyMTY0Njc2MTUx._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt23137390/?ref_=chtmvm_t_16,Immaculate,2024,1h 29m,5.9,19K
UG9vciBUaGluZ3M=,"https://m.media-amazon.com/images/M/MV5BNGIyYWMzNjktNDE3MC00YWQyLWEyMmEtN2ZmNzZhZDk3NGJlXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt14230458/?ref_=chtmvm_t_17,Poor Things,2023,2h 21m,7.9,250K
Um9hZCBIb3VzZQ==,"https://m.media-amazon.com/images/M/MV5BNTFiNTMxNTQtM2EzOS00NWNhLWFmNzctNjU5ODIzNDIzMzYzXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt3359350/?ref_=chtmvm_t_18,Road House,2024,2h 1m,6.2,111K
VGhlIFdhdGNoZXJz,"https://m.media-amazon.com/images/M/MV5BOTE5ZTY3NzktYmVkNS00NzRhLWI3YzUtNTA3MDVkYmIzMGVmXkEyXkFqcGdeQXVyMjYwNDA2MDE@._V1_QL75_UX140_CR0,1,140,207_.jpg",/title/tt26736843/?ref_=chtmvm_t_19,The Watchers,2024,,,
RHVuZQ==,"https://m.media-amazon.com/images/M/MV5BMDQ0NjgyN2YtNWViNS00YjA3LTkxNDktYzFkZTExZGMxZDkxXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UY207_CR0,0,140,207_.jpg",/title/tt1160419/?ref_=chtmvm_t_20,Dune,2021,2h 35m,8.0,856K
T3BwZW5oZWltZXI=,"https://m.media-amazon.com/images/M/MV5BMDBmYTZjNjUtN2M1MS00MTQ2LTk2ODgtNzc2M2QyZGE5NTVjXkEyXkFqcGdeQXVyNzAwMjU2MTY@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt15398776/?ref_=chtmvm_t_21,Oppenheimer,2023,3h,8.3,728K
Qm95IEtpbGxzIFdvcmxk,"https://m.media-amazon.com/images/M/MV5BNmYyM2VhM2UtYmEzNi00M2RmLTkzYWQtZGQ5MjI2MzQzMWMyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt13923084/?ref_=chtmvm_t_22,Boy Kills World,2023,1h 51m,6.8,2K
S2luZ2RvbSBvZiB0aGUgUGxhbmV0IG9mIHRoZSBBcGVz,"https://m.media-amazon.com/images/M/MV5BZGI4NTEwNTAtZDcwMi00MDkxLTg1OGYtNTZmMzE3ZDljNzVlXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt11389872/?ref_=chtmvm_t_23,Kingdom of the Planet of the Apes,2024,2h 25m,,
VHJhbnNmb3JtZXJzIE9uZQ==,"https://m.media-amazon.com/images/M/MV5BNzQ3NDhmZjMtYjQ4ZS00MmFhLTliOGMtZmQ0MWQ3ZDA3MjZhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UY207_CR1,0,140,207_.jpg",/title/tt8864596/?ref_=chtmvm_t_24,Transformers One,2024,,,
QXJ0aHVyIHRoZSBLaW5n,"https://m.media-amazon.com/images/M/MV5BNzMzMDNhZWYtZDE4ZC00MTg5LWJiZWEtZjU2OGM2ZjMzM2I1XkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_QL75_UX140_CR0,0,140,207_.jpg",/title/tt10720352/?ref_=chtmvm_t_25,Arthur the King,2024,1h 47m,7.0,7.6K
