movieID,specKey,specValue,specLink
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,Runtime,1h 33m(93 min),
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,Color,Black and WhiteColor,/search/title/?colors=black_and_white&ref_=ttspec_spec_3
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,Aspect ratio,1.33 : 1(some scenes)1.33 : 1(talk show scenes)1.66 : 1(documentary parts)1.85 : 12.35 : 14:3,
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,Negative Format,Digital,
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,Printed Film Format,Digital,
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,,,
TGF0ZSBOaWdodCB3aXRoIHRoZSBEZXZpbA==,,,
TW9ua2V5IE1hbg==,Runtime,2h 1m(121 min),
TW9ua2V5IE1hbg==,Sound mix,Dolby Atmos,/search/title/?sound_mixes=dolby_atmos&ref_=ttspec_spec_2
TW9ua2V5IE1hbg==,Color,Color,/search/title/?colors=color&ref_=ttspec_spec_3
TW9ua2V5IE1hbg==,Aspect ratio,2.39 : 1,
TW9ua2V5IE1hbg==,Camera,"Arri Alexa Mini, Cooke Anamorphic/i and Speed Panchro Lenses",
TW9ua2V5IE1hbg==,Negative Format,Codex,
TW9ua2V5IE1hbg==,Cinematographic Process,ARRIRAW(source format)Digital Intermediate(master format),
TW9ua2V5IE1hbg==,Printed Film Format,DCP Digital Cinema Package,
TW9ua2V5IE1hbg==,,,
TW9ua2V5IE1hbg==,,,
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,Runtime,2h 13m(133 min),
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,Sound mix,Dolby AtmosDolby Digital,/search/title/?sound_mixes=dolby_atmos&ref_=ttspec_spec_2
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,Color,Color,/search/title/?colors=color&ref_=ttspec_spec_3
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,Aspect ratio,2.39 : 12.76 : 1(70mm),
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,Camera,"Red V-Raptor XL, Zero Optik Summiscope Lenses",
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,Laboratory,"Company 3, Los Angeles (CA), USA(digital intermediate)",
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,Negative Format,Redcode RAW,
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,Cinematographic Process,"Digital Intermediate(4K, master format)Dolby VisionRedcode RAW(8K, source format)Summiscope(anamorphic, source format)",
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,Printed Film Format,70 mm(Kodak Vision 2383)D-CinemaVideo(UHD),
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,,,
UmViZWwgTW9vbiAtIFBhcnQgT25lOiBBIENoaWxkIG9mIEZpcmU=,,,
QW55b25lIEJ1dCBZb3U=,Runtime,1h 43m(103 min),
QW55b25lIEJ1dCBZb3U=,Color,Color,/search/title/?colors=color&ref_=ttspec_spec_3
QW55b25lIEJ1dCBZb3U=,Aspect ratio,2.39 : 1,
QW55b25lIEJ1dCBZb3U=,Camera,"Arri Alexa Mini LF, Arri Signature Prime, Signature Zoom and Angenieux Optimo Ultra Lenses",
